#BinNumber  #XbinCentre      #BinContent
0          -2.5          0
1          2.5          0
2          7.5          0
3          12.5          0
4          17.5          0
5          22.5          0
6          27.5          0
7          32.5          0
8          37.5          0
9          42.5          0
10          47.5          0
11          52.5          0
12          57.5          0
13          62.5          0
14          67.5          0
15          72.5          0
16          77.5          0
17          82.5          0
18          87.5          0
19          92.5          0
20          97.5          0
21          102.5          0
22          107.5          0
23          112.5          0
24          117.5          0
25          122.5          0
26          127.5          0
27          132.5          0
28          137.5          0
29          142.5          0
30          147.5          0
31          152.5          0
32          157.5          -9.85714
33          162.5          0.763889
34          167.5          0.428571
35          172.5          71
36          177.5          0.6625
37          182.5          -1.83871
38          187.5          -0.821429
39          192.5          -1.34545
40          197.5          0.38806
41          202.5          8
42          207.5          0.507692
43          212.5          0.497645
44          217.5          1.04082
45          222.5          0.840659
46          227.5          1.56115
47          232.5          1.26667
48          237.5          0.938497
49          242.5          0.516561
50          247.5          1.28894
51          252.5          1.33086
52          257.5          1.0914
53          262.5          1.05727
54          267.5          0.886844
55          272.5          0.903946
56          277.5          0.860288
57          282.5          0.715896
58          287.5          0.979021
59          292.5          0.65811
60          297.5          0.920114
61          302.5          0.877333
62          307.5          0.934889
63          312.5          0.826832
64          317.5          0.942903
65          322.5          0.990233
66          327.5          0.936574
67          332.5          0.968
68          337.5          0.962205
69          342.5          1.0092
70          347.5          1.02752
71          352.5          1.0011
72          357.5          1.02809
73          362.5          1.02622
74          367.5          1.06573
75          372.5          1.11592
76          377.5          1.10019
77          382.5          1.09474
78          387.5          1.12598
79          392.5          1.19778
80          397.5          1.19463
81          402.5          1.14702
82          407.5          1.16376
83          412.5          1.16777
84          417.5          1.18021
85          422.5          1.17304
86          427.5          1.18922
87          432.5          1.20139
88          437.5          1.21804
89          442.5          1.24018
90          447.5          1.26599
91          452.5          1.28372
92          457.5          1.2881
93          462.5          1.30308
94          467.5          1.32565
95          472.5          1.32343
96          477.5          1.35372
97          482.5          1.38835
98          487.5          1.39741
99          492.5          1.42659
100          497.5          1.47193
101          502.5          1.47027
102          507.5          1.48351
103          512.5          1.50337
104          517.5          1.52727
105          522.5          1.57941
106          527.5          1.6152
107          532.5          1.63986
108          537.5          1.65943
109          542.5          1.70115
110          547.5          1.75662
111          552.5          0
112          557.5          0
113          562.5          1.86303
114          567.5          1.89254
115          572.5          1.95883
116          577.5          1.99172
117          582.5          2.04878
118          587.5          2.1325
119          592.5          2.1226
120          597.5          2.19044
121          602.5          2.22658
122          607.5          2.27489
123          612.5          2.19698
124          617.5          2.17599
125          622.5          2.01758
126          627.5          1.75469
127          632.5          1.55476
128          637.5          1.39046
129          642.5          1.2125
130          647.5          1.11824
131          652.5          0.996108
132          657.5          0.927173
133          662.5          0.934265
134          667.5          0.93507
135          672.5          0.941267
136          677.5          0.956036
137          682.5          0.959393
138          687.5          0.958987
139          692.5          0.961131
140          697.5          0.972352
141          702.5          0.951184
142          707.5          0.960284
143          712.5          1.01409
144          717.5          0.993528
145          722.5          0.991335
146          727.5          1.02151
147          732.5          1.01837
