#BinNumber  #XbinCentre      #BinContent
0          -2.5          0
1          2.5          0
2          7.5          0
3          12.5          0
4          17.5          0
5          22.5          0
6          27.5          0
7          32.5          0
8          37.5          0
9          42.5          0
10          47.5          0
11          52.5          0
12          57.5          0
13          62.5          0
14          67.5          0
15          72.5          0
16          77.5          0
17          82.5          0
18          87.5          0
19          92.5          0
20          97.5          0
21          102.5          0
22          107.5          0
23          112.5          0
24          117.5          0
25          122.5          0
26          127.5          0
27          132.5          0
28          137.5          0
29          142.5          0
30          147.5          0
31          152.5          0
32          157.5          -3.85714
33          162.5          -0.0138889
34          167.5          0.857143
35          172.5          -9
36          177.5          -0.675
37          182.5          -2.45161
38          187.5          1.25
39          192.5          -2.29091
40          197.5          -0.268657
41          202.5          5.5
42          207.5          1.28462
43          212.5          0.362637
44          217.5          0.912536
45          222.5          0.64011
46          227.5          0.967626
47          232.5          0.438889
48          237.5          0.861048
49          242.5          0.892178
50          247.5          1.40955
51          252.5          1.60741
52          257.5          0.866935
53          262.5          0.805269
54          267.5          0.880709
55          272.5          0.84185
56          277.5          1.03048
57          282.5          0.872522
58          287.5          0.865385
59          292.5          0.585764
60          297.5          0.939729
61          302.5          0.845333
62          307.5          0.961412
63          312.5          0.872045
64          317.5          1.01227
65          322.5          1.06837
66          327.5          0.98287
67          332.5          0.961739
68          337.5          1.0231
69          342.5          1.10534
70          347.5          1.08344
71          352.5          1.06614
72          357.5          1.08094
73          362.5          1.06737
74          367.5          1.09735
75          372.5          1.12678
76          377.5          1.1242
77          382.5          1.12573
78          387.5          1.1589
79          392.5          1.24202
80          397.5          1.2383
81          402.5          1.19847
82          407.5          1.19181
83          412.5          1.20474
84          417.5          1.21378
85          422.5          1.20428
86          427.5          1.22116
87          432.5          1.2417
88          437.5          1.2521
89          442.5          1.2697
90          447.5          1.29628
91          452.5          1.32035
92          457.5          1.325
93          462.5          1.333
94          467.5          1.34895
95          472.5          1.36802
96          477.5          1.38536
97          482.5          1.42433
98          487.5          1.42809
99          492.5          1.46115
100          497.5          1.49341
101          502.5          1.49666
102          507.5          1.52227
103          512.5          1.53957
104          517.5          1.56828
105          522.5          1.62204
106          527.5          1.648
107          532.5          1.66983
108          537.5          1.69472
109          542.5          1.73117
110          547.5          1.78217
111          552.5          0
112          557.5          0
113          562.5          1.88583
114          567.5          1.91856
115          572.5          1.98851
116          577.5          2.01198
117          582.5          2.08749
118          587.5          2.16974
119          592.5          2.15513
120          597.5          2.22068
121          602.5          2.26095
122          607.5          2.31613
123          612.5          2.24321
124          617.5          2.30948
125          622.5          2.22373
126          627.5          2.00154
127          632.5          1.7752
128          637.5          1.57016
129          642.5          1.34273
130          647.5          1.19125
131          652.5          1.05375
132          657.5          0.985092
133          662.5          0.967643
134          667.5          0.959881
135          672.5          0.969605
136          677.5          0.975342
137          682.5          0.981848
138          687.5          0.998968
139          692.5          0.995519
140          697.5          1.01313
141          702.5          0.995703
142          707.5          1.00681
143          712.5          1.0416
144          717.5          1.02249
145          722.5          1.03631
146          727.5          1.05423
147          732.5          1.05479
