<hr>
<PRE>
<PRE>

  CM12 2700 MEV P(200) CHI/DP=51634/25553                SM05    4/12/19  
     PI0N  S    AT Elab =   710.00       4/12/19  
     CosA         Obs,Err             (Alab, DSGlab) 
    -1.000  0.3476E-08  0.0000E+00
    -0.950  0.1108E+00  0.0000E+00
    -0.900  0.2076E+00  0.0000E+00
    -0.850  0.2910E+00  0.0000E+00
    -0.800  0.3627E+00  0.0000E+00
    -0.750  0.4240E+00  0.0000E+00
    -0.700  0.4766E+00  0.0000E+00
    -0.650  0.5219E+00  0.0000E+00
    -0.600  0.5611E+00  0.0000E+00
    -0.550  0.5953E+00  0.0000E+00
    -0.500  0.6252E+00  0.0000E+00
    -0.450  0.6517E+00  0.0000E+00
    -0.400  0.6753E+00  0.0000E+00
    -0.350  0.6965E+00  0.0000E+00
    -0.300  0.7156E+00  0.0000E+00
    -0.250  0.7329E+00  0.0000E+00
    -0.200  0.7486E+00  0.0000E+00
    -0.150  0.7630E+00  0.0000E+00
    -0.100  0.7760E+00  0.0000E+00
    -0.050  0.7876E+00  0.0000E+00
     0.000  0.7979E+00  0.0000E+00
     0.050  0.8067E+00  0.0000E+00
     0.100  0.8137E+00  0.0000E+00
     0.150  0.8186E+00  0.0000E+00
     0.200  0.8209E+00  0.0000E+00
     0.250  0.8199E+00  0.0000E+00
     0.300  0.8149E+00  0.0000E+00
     0.350  0.8049E+00  0.0000E+00
     0.400  0.7888E+00  0.0000E+00
     0.450  0.7654E+00  0.0000E+00
     0.500  0.7337E+00  0.0000E+00
     0.550  0.6930E+00  0.0000E+00
     0.600  0.6432E+00  0.0000E+00
     0.650  0.5850E+00  0.0000E+00
     0.700  0.5198E+00  0.0000E+00
     0.750  0.4495E+00  0.0000E+00
     0.800  0.3754E+00  0.0000E+00
     0.850  0.2978E+00  0.0000E+00
     0.900  0.2143E+00  0.0000E+00
     0.950  0.1191E+00  0.0000E+00
     1.000  0.6568E-06  0.0000E+00
  To see exp data enter a range(min max) for Elab ->
</PRE>
