<hr>
<PRE>
<PRE>

  CM12 2700 MEV P(200) CHI/DP=51634/25553                SM05    2/21/19  
     PI0P  S    AT Elab =   630.00       2/21/19  
     CosA         Obs,Err             (Alab, DSGlab) 
    -1.000  0.1593E-07  0.0000E+00
    -0.900  0.4090E+00  0.0000E+00
    -0.800  0.6062E+00  0.0000E+00
    -0.700  0.6894E+00  0.0000E+00
    -0.600  0.7243E+00  0.0000E+00
    -0.500  0.7379E+00  0.0000E+00
    -0.400  0.7413E+00  0.0000E+00
    -0.300  0.7391E+00  0.0000E+00
    -0.200  0.7332E+00  0.0000E+00
    -0.100  0.7241E+00  0.0000E+00
     0.000  0.7115E+00  0.0000E+00
     0.100  0.6944E+00  0.0000E+00
     0.200  0.6706E+00  0.0000E+00
     0.300  0.6372E+00  0.0000E+00
     0.400  0.5900E+00  0.0000E+00
     0.500  0.5241E+00  0.0000E+00
     0.600  0.4350E+00  0.0000E+00
     0.700  0.3221E+00  0.0000E+00
     0.800  0.1944E+00  0.0000E+00
     0.900  0.7535E-01  0.0000E+00
     1.000  0.4930E-07  0.0000E+00
  To see exp data enter a range(min max) for Elab -> "Scratch" data is: OUT  "GO13" will toggle IN/OUT
 Enter "Y" to normalize, "R" to enter references->
 E=  622.870 ND=  18  GA(16)   MAIN   GARDNER, EPJA52, 333(2016) PC 0
     30.91  0.26600E+00  0.29000E+00
     42.69  0.25000E+00  0.92000E-01
     50.21  0.28200E+00  0.42000E-01
     57.66  0.46300E+00  0.27000E-01
     64.21  0.49000E+00  0.24000E-01
     70.91  0.56700E+00  0.27000E-01
     77.17  0.64900E+00  0.23000E-01
     83.22  0.65800E+00  0.22000E-01
     89.25  0.69300E+00  0.20000E-01
     95.28  0.70300E+00  0.20000E-01
    101.36  0.69800E+00  0.21000E-01
    107.58  0.72300E+00  0.22000E-01
    114.02  0.71700E+00  0.23000E-01
    120.73  0.71600E+00  0.23000E-01
    127.95  0.70100E+00  0.29000E-01
    136.05  0.61700E+00  0.33000E-01
    145.49  0.52800E+00  0.40000E-01
    157.07  0.22100E+00  0.77000E-01

 E=  625.000 ND=   1  KE(74)   SLAC   KNIES, PRD10, 2778(74)         
    130.00  0.13300E+01  0.35000E+00

 E=  625.000 ND=   6  AD(01)   YERE   ADAMIAN, PRC63, 054606(2001)   
     85.00  0.72000E+00  0.31000E-01
     90.00  0.71800E+00  0.27000E-01
     95.00  0.71500E+00  0.33000E-01
    115.00  0.74400E+00  0.32000E-01
    120.00  0.74600E+00  0.29000E-01
    125.00  0.64900E+00  0.32000E-01

 E=  627.450 ND=  18  GA(16)   MAIN   GARDNER, EPJA52, 333(2016) PC 0
     30.91  0.12400E+00  0.28000E+00
     42.69  0.15700E+00  0.88000E-01
     50.28  0.33100E+00  0.41000E-01
     57.66  0.43600E+00  0.27000E-01
     64.15  0.50500E+00  0.23000E-01
     70.91  0.57900E+00  0.27000E-01
     77.17  0.62700E+00  0.23000E-01
     83.22  0.63700E+00  0.21000E-01
     89.31  0.67800E+00  0.20000E-01
     95.22  0.74000E+00  0.22000E-01
    101.36  0.73500E+00  0.22000E-01
    107.58  0.76100E+00  0.23000E-01
    113.95  0.74100E+00  0.24000E-01
    120.73  0.73000E+00  0.24000E-01
    127.95  0.70300E+00  0.27000E-01
    135.97  0.65400E+00  0.33000E-01
    145.39  0.51000E+00  0.41000E-01
    157.07  0.19700E+00  0.77000E-01

 E=  632.040 ND=  18  GA(16)   MAIN   GARDNER, EPJA52, 333(2016) PC 0
     30.91 -0.84000E-01  0.38600E+00
     42.86  0.30000E+00  0.99000E-01
     50.28  0.37800E+00  0.46000E-01
     57.66  0.46200E+00  0.29000E-01
     64.15  0.49300E+00  0.28000E-01
     70.91  0.64900E+00  0.29000E-01
     77.17  0.63100E+00  0.24000E-01
     83.28  0.66400E+00  0.24000E-01
     89.25  0.68900E+00  0.23000E-01
     95.28  0.75300E+00  0.23000E-01
    101.36  0.74400E+00  0.25000E-01
    107.58  0.75800E+00  0.25000E-01
    113.95  0.81200E+00  0.25000E-01
    120.73  0.73500E+00  0.26000E-01
    128.02  0.76000E+00  0.29000E-01
    135.97  0.63700E+00  0.36000E-01
    145.49  0.61100E+00  0.50000E-01
    156.93  0.29300E+00  0.81000E-01

 E=  635.870 ND=  18  GA(16)   MAIN   GARDNER, EPJA52, 333(2016) PC 0
     30.91  0.23700E+00  0.33800E+00
     42.95  0.19100E+00  0.12800E+00
     50.28  0.46100E+00  0.51000E-01
     57.72  0.47400E+00  0.34000E-01
     64.15  0.53000E+00  0.29000E-01
     70.91  0.59100E+00  0.33000E-01
     77.17  0.67500E+00  0.28000E-01
     83.22  0.70500E+00  0.25000E-01
     89.25  0.68100E+00  0.24000E-01
     95.28  0.71300E+00  0.24000E-01
    101.36  0.74600E+00  0.26000E-01
    107.52  0.75100E+00  0.26000E-01
    114.02  0.81800E+00  0.29000E-01
    120.73  0.77000E+00  0.28000E-01
    128.02  0.66500E+00  0.31000E-01
    136.05  0.73800E+00  0.36000E-01
    145.39  0.50900E+00  0.47000E-01
    157.07  0.22600E+00  0.85000E-01

 E=  639.710 ND=  18  GA(16)   MAIN   GARDNER, EPJA52, 333(2016) PC 0
     30.91  0.12000E+00  0.31700E+00
     42.78  0.18400E+00  0.12200E+00
     50.21  0.49500E+00  0.49000E-01
     57.66  0.54100E+00  0.33000E-01
     64.15  0.58100E+00  0.30000E-01
     70.91  0.66400E+00  0.31000E-01
     77.11  0.69500E+00  0.27000E-01
     83.22  0.71800E+00  0.25000E-01
     89.25  0.76200E+00  0.24000E-01
     95.28  0.73800E+00  0.24000E-01
    101.30  0.79500E+00  0.26000E-01
    107.52  0.80600E+00  0.26000E-01
    113.95  0.80000E+00  0.26000E-01
    120.73  0.76600E+00  0.26000E-01
    127.95  0.71600E+00  0.31000E-01
    136.14  0.70100E+00  0.36000E-01
    145.49  0.47900E+00  0.45000E-01
    157.22  0.23300E+00  0.86000E-01

</PRE>
