<hr>
<PRE>
<PRE>

  CM12 2700 MEV P(200) CHI/DP=51634/25553                SM05    5/22/19  
     PI0P  S    AT Elab =   710.00       5/22/19  
     CosA         Obs,Err             (Alab, DSGlab) 
    -1.000  0.5528E-08  0.0000E+00
    -0.950  0.1268E+00  0.0000E+00
    -0.900  0.2541E+00  0.0000E+00
    -0.850  0.3699E+00  0.0000E+00
    -0.800  0.4685E+00  0.0000E+00
    -0.750  0.5491E+00  0.0000E+00
    -0.700  0.6135E+00  0.0000E+00
    -0.650  0.6645E+00  0.0000E+00
    -0.600  0.7048E+00  0.0000E+00
    -0.550  0.7368E+00  0.0000E+00
    -0.500  0.7624E+00  0.0000E+00
    -0.450  0.7830E+00  0.0000E+00
    -0.400  0.7998E+00  0.0000E+00
    -0.350  0.8138E+00  0.0000E+00
    -0.300  0.8255E+00  0.0000E+00
    -0.250  0.8355E+00  0.0000E+00
    -0.200  0.8441E+00  0.0000E+00
    -0.150  0.8517E+00  0.0000E+00
    -0.100  0.8585E+00  0.0000E+00
    -0.050  0.8646E+00  0.0000E+00
     0.000  0.8702E+00  0.0000E+00
     0.050  0.8751E+00  0.0000E+00
     0.100  0.8794E+00  0.0000E+00
     0.150  0.8830E+00  0.0000E+00
     0.200  0.8858E+00  0.0000E+00
     0.250  0.8875E+00  0.0000E+00
     0.300  0.8877E+00  0.0000E+00
     0.350  0.8862E+00  0.0000E+00
     0.400  0.8824E+00  0.0000E+00
     0.450  0.8757E+00  0.0000E+00
     0.500  0.8654E+00  0.0000E+00
     0.550  0.8506E+00  0.0000E+00
     0.600  0.8303E+00  0.0000E+00
     0.650  0.8031E+00  0.0000E+00
     0.700  0.7676E+00  0.0000E+00
     0.750  0.7213E+00  0.0000E+00
     0.800  0.6607E+00  0.0000E+00
     0.850  0.5798E+00  0.0000E+00
     0.900  0.4669E+00  0.0000E+00
     0.950  0.2966E+00  0.0000E+00
     1.000  0.1961E-05  0.0000E+00
  To see exp data enter a range(min max) for Elab ->
</PRE>
